CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DO LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQÜENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
CÓDIGO DO SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),B
BRANCOS,COMPLEMENTO DE REGISTRO,015,017,X(03),
EMPRESA – INSCRIÇÃO,TIPO INSCRIÇÃO DO FAVORECIDO,018,018,9(01),1 = CPF 2 = CNPJ
Nº DE INSCRIÇÃO,Nº DE INSCRIÇÃO DO FAVORECIDO (CPF/CNPJ),019,032,9(14),NOTA 15
ENDEREÇO,NOME DA RUA OU AV. OU PÇA OU ETC,033,062,X(30),
NÚMERO,NÚMERO DO LOCAL,063,067,9(05),
COMPLEMENTO.,CASA OU APTO OU ETC...,068,082,X(15),
BAIRRO,BAIRRO,083,097,X(15),
CIDADE,NOME DA CIDADE,098,117,X(20),
CEP,CEP,118,125,9(08),
ESTADO,SIGLA DO ESTADO,126,127,X(02),
E-MAIL,ENDEREÇO DE E-MAIL,128,227,X(100),NOTA 23
BRANCOS,COMPLEMENTO DE REGISTRO,228,230,X(03),
OCORRÊNCIAS,CÓDIGO DE OCORRÊNCIAS NO RETORNO,231,240,X(10),NOTA 8
