CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DE LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQUENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),J
TIPO DE MOVIMENTO,TIPO DE MOVIMENTO,015,017,9(03),NOTA 10
BANCO FAVORECIDO,CÓD. DE BARRAS – CÓDIGO BANCO FAVORECIDO,018,020,9(03),NOTA 18
MOEDA,CÓD. DE BARRAS – CÓDIGO DA MOEDA,021,021,9(01),NOTA 18
DV,CÓD. DE BARRAS – DÍGITO VERIF. DO CÓD. BARRAS,022,022,9(01),NOTA 18
VENCIMENTO,CÓD. DE BARRAS – FATOR DE VENCIMENTO,023,026,9(04),NOTA 18
VALOR,CÓD. DE BARRAS – VALOR,027,036,9(08)V9(02),NOTA 18
CAMPO,LIVRE CÓD. DE BARRAS - 'CAMPO LIVRE',037,061,9(25),NOTA 18
NOME DO FAVORECIDO,NOME DO FAVORECIDO,062,091,X(30),
DATA VENCTO,DATA DO VENCIMENTO (NOMINAL),092,099,9(08),DDMMAAAA
VALOR DO TÍTULO,VALOR DO TÍTULO (NOMINAL),100,114,9(13)V9(02),
DESCONTOS,VALOR DO DESCONTO + ABATIMENTO,115,129,9(13)V9(02),
ACRÉSCIMOS,VALOR DA MORA + MULTA,130,144,9(13)V9(02),
DATA PAGAMENTO,DATA DO PAGAMENTO,145,152,9(08),DDMMAAAA
VALOR PAGAMENTO,VALOR DO PAGAMENTO,153,167,9(13)V9(02),
ZEROS,COMPLEMENTO DE REGISTRO,168,182,9(15),
SEU NÚMERO,Nº DOCTO ATRIBUÍDO PELA EMPRESA,183,202,X(20),
BRANCOS,COMPLEMENTO DE REGISTRO,203,215,X(13),
NOSSO NÚMERO,NÚMERO ATRIBUÍDO PELO BANCO,216,230,X(15),NOTA 12
OCORRÊNCIAS,CÓDIGO DE OCORRÊNCIAS P/ RETORNO,231,240,X(10),NOTA 8
