CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DE LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQUENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),J
TIPO DE MOVIMENTO,TIPO DE MOVIMENTO,015,017,9(03),NOTA 10
CÓDIGO DO REGISTRO,IDENTIFICAÇÃO DO REGISTRO OPCIONAL,018,019,9(02),52
TIPO DE INSCRIÇÃO PAGADOR,TIPO DE INSCRIÇÃO DO PAGADOR,020,020,9(01),1 – CPF 2 - CNPJ
NUMERO INSCRIÇÃO,PAGADOR NUMERO DE INSCRIÇÃO DO PAGADOR,021,035,9(15),NOTA 36
NOME PAGADOR,NOME DO PAGADOR,036,075,X(40),
TIPO DE INSCRIÇÃO BENEFICIÁRIO,TIPO DE INSCRIÇÃO DO BENEFICIÁRIO,076,076,9(01),1 – CPF 2 - CNPJ
NUMERO INSCRIÇÃO BENEFICIÁRIO,NUMERO DE INSCRIÇÃO DO BENEFICIÁRIO,077,091,9(15),NOTA 36
NOME BENEFICIÁRIO,NOME DO BENEFICIÁRIO,092,131,X(40),
TIPO DE INSCRIÇÃO,SACADOR TIPO DE INSCRIÇÃO DO SACADOR AVALISTA,132,132,9(01),1 – CPF 2 - CNPJ
NUMERO INSCRIÇÃO SACADOR,NUMERO DE INSCRIÇÃO DO SACADOR AVALISTA,133,147,9(15),NOTA 36
NOME SACADOR,NOME DO SACADOR AVALISTA,148,187,X(40),
BRANCOS,COMPLEMENTO DE REGISTRO,188,240,X(53),
