CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DO LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQÜENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
CÓDIGO DO SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),C
VALOR C.S.L.L.,VALOR DA CONTRIBUIÇÃO SOBRE O LUCRO LÍQUIDO,015,029,9(13)V9(02),
BRANCOS,COMPLEMENTO DE REGISTRO,030,037,X(08),
VENCIMENTO,DATA DE VENCIMENTO,038,045,X(08),DDMMAAAA
VALOR DOCUMENTO,VALOR NOMINAL DO DOCUMENTO,046,060,9(13)V9(02),
VALOR PIS,VALOR PROGRAMA DE INTEGRAÇÃO SOCIAL,061,075,9(13)V9(02),
VALOR I.R.,VALOR DO IMPOSTO DE RENDA,076,090,9(13)V9(02),
VALOR I.S.S.,VALOR DO IMPOSTO SOBRE SERVIÇOS,091,105,9(13)V9(02),
VALOR COFINS,VALOR CONTRIBUIÇÃO FINALIDADE SOCIAL,106,120,9(13)V9(02),
DESCONTO,VALOR DO DESCONTO,121,135,9(13)V9(02),
ABATIMENTO,VALOR DO ABATIMENTO,136,150,9(13)V9(02),
OUTRAS DEDUÇÕES,VALOR DE OUTRAS DEDUÇÕES,151,165,9(13)V9(02),
MORA,VALOR DA MORA,166,180,9(13)V9(02),
MULTA,VALOR DA MULTA,181,195,9(13)V9(02),
OUTROS ACRÉSCIMOS,VALOR DE OUTROS ACRÉSCIMOS,196,210,9(13)V9(02),
FATURA/DOCUMENTO,NÚMERO DA FATURA/DOCUMENTO,211,230,X(20),
BRANCOS,COMPLEMENTO DE REGISTRO,231,240,X(10),
