NOME DO CAMPO,SIGNIFICADO,POSICAO INICIAL,POSICAO FINAL,PICTURE,CONTEUDO
CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE IDENTIFICAÇÃO DE PAGTOS,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO HEADER DE LOTE,008,008,9(01),1
TIPO DE OPERAÇÃO,TIPO DA OPERAÇÃO,009,009,X(01),C =CRÉDITO
TIPO DE PAGAMENTO,TIPO DE PAGTO,010,011,9(02),NOTA 4
FORMA DE PAGAMENTO,FORMA DE PAGAMENTO,012,013,9(02),NOTA 5
LAYOUT DO LOTE,N DA VERSÃO DO LAYOUT DO LOTE,014,016,9(03),030
BRANCOS,COMPLEMENTO DE REGISTRO,017,017,X(01),
EMPRESA - INSCRIÇÃO,TIPO INSCRIÇÃO EMPRESA DEBITADA,018,018,9(01),1= CPF 2 = CNPJ
INSCRIÇÃO NÚMERO,CNPJ EMPRESA OU CPF DEBITADO,019,032,9(14),NOTA 1
BRANCOS,COMPLEMENTO DE REGISTRO,033,052,X(20),
AGÊNCIA,NÚMERO AGÊNCIA DEBITADA,053,057,9(05),NOTA 1
BRANCOS,COMPLEMENTO DE REGISTRO,058,058,X(01),
CONTA,NÚMERO DE C/C DEBITADA,059,070,9(12),NOTA 1
BRANCOS,COMPLEMENTO DE REGISTRO,071,071,X(01),
DAC,DAC DA AGÊNCIA/CONTA DEBITADA,072,072,9(01),NOTA 1
NOME DA EMPRESA,NOME DA EMPRESA DEBITADA,073,102,X(30),
FINALIDADE DO LOTE,FINALIDADE DOS PAGTOS DO LOTE,103,132,X(30),NOTA 6
HISTÓRICO DE C/C,COMPLEMENTO HISTÓRICO C/C DEBITADA,133,142,X(10),NOTA 7
ENDEREÇO DA EMPRESA,NOME DA RUA OU AV OU PÇA OU ETC...,143,172,X(30),
NÚMERO,NÚMERO DO LOCAL,173,177,9(05),
COMPLEMENTO.,CASA OU APTO OU SALA OU ETC...,178,192,X(15),
CIDADE,NOME DA CIDADE,193,212,X(20),
CEP,CEP,213,220,9(08),
ESTADO,SIGLA DO ESTADO,221,222,X(02),
BRANCOS,COMPLEMENTO DE REGISTRO,223,230,X(08),
OCORRÊNCIAS,CÓDIGO OCORRÊNCIAS P/RETORNO,231,240,X(10),NOTA 8
