CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DE LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQUENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),'N'
TIPO DE MOVIMENTO,TIPO DE MOVIMENTO,015,017,9(03),NOTA 10
DADOS DO TRIBUTO,DADOS DE IDENTIFICAÇÃO DO TRIBUTO,018,195,X(178),ANEXO C
SEU NÚMERO,Nº DOCTO ATRIBUÍDO PELA EMPRESA,196,215,X(20),
NOSSO NÚMERO,NÚMERO ATRIBUÍDO PELO BANCO,216,230,X(15),NOTA 12
OCORRÊNCIAS,CÓDIGO DE OCORRÊNCIAS P/ RETORNO,231,240,X(10),NOTA 8
