CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DO LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQÜENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
CÓDIGO DO SEGMENTO,CÓDIGO SEGMENTO REG. DETALHE,014,014,X(01),W
BRANCOS,COMPLEMENTO DE REGISTRO,015,016,X(02),BRANCOS
INFORMAÇÃO 1,INFORMAÇÃO COMPLEMENTAR 1,017,056,X(40),
INFORMAÇÃO 2,INFORMAÇÃO COMPLEMENTAR 2,057,096,X(40),
INFORMAÇÃO 3,INFORMAÇÃO COMPLEMENTAR 3,097,136,X(40),
INFORMAÇÃO 4,INFORMAÇÃO COMPLEMENTAR 4,137,176,X(40),
BRANCOS,COMPLEMENTO DE REGISTRO,177,240,X(64),
