NOME DO CAMPO,SIGNIFICADO,POSICAO INICIAL,POSICAO FINAL,PICTURE,CONTEUDO
CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO TRAILER DE LOTE,008,008,9(01),5
BRANCOS,COMPLEMENTO DE REGISTRO,009,017,X(09),
TOTAL QTDE REGISTROS,QTDE REGISTROS DO LOTE,018,023,9(06),NOTA 17
TOTAL VALOR PRINCIPAL,SOMA VALOR PRINCIPAL DOS PGTOS DO LOTE,024,037,9(12)V9(02),NOTA 17
TOTAL OUTRAS ENTIDAD.,SOMA VALORES DE OUTRAS ENTIDADES DO LOTE,038,051,9(12)V9(02),NOTA 17
TOTAL VAL. ACRESCIMOS,SOMA VALORES ATUALIZ. MONET/MULTA/MORA,052,065,9(12)V9(02),NOTA 17
TOTAL VALOR ARRECAD.,SOMA VALOR DOS PAGAMENTOS DO LOTE,066,079,9(12)V9(02),NOTA 17
BRANCOS,COMPLEMENTO DE REGISTRO,080,230,X(151),
OCORRÊNCIAS,CÓDIGOS OCORRÊNCIAS P/ RETORNO,231,240,X(10),NOTA 8
