CÓDIGO DO BANCO,CÓDIGO BANCO NA COMPENSAÇÃO,001,003,9(03),341
CÓDIGO DO LOTE,LOTE DE SERVIÇO,004,007,9(04),NOTA 3
TIPO DE REGISTRO,REGISTRO DETALHE DE LOTE,008,008,9(01),3
NÚMERO DO REGISTRO,Nº SEQUENCIAL REGISTRO NO LOTE,009,013,9(05),NOTA 9
SEGMENTO CÓDIGO,SEGMENTO REG. DETALHE,014,014,X(01),A
TIPO DE MOVIMENTO,TIPO DE MOVIMENTO,015,017,9(03),NOTA 10
CÂMARA,CÓDIGO DA CÂMARA CENTRALIZADORA,018,020,9(03),NOTA 37
BANCO FAVORECIDO,CÓDIGO BANCO FAVORECIDO,021,023,9(03),
AGÊNCIA,CONTA AGÊNCIA,CONTA FAVORECIDO,024,043,X(20),NOTA 11
NOME DO FAVORECIDO,NOME DO FAVORECIDO,044,073,X(30),NOTA 35
SEU NÚMERO,Nº DOCTO ATRIBUÍDO PELA EMPRESA,074,093,X(20),
DATA DE PAGTO,DATA PREVISTA PARA PAGTO,094,101,9(08),DDMMAAAA
MOEDA – TIPO,TIPO DA MOEDA,102,104,X(03),REA OU 009
CÓDIGO ISPB,IDENTIFICAÇÃO DA INSTITUIÇÃO PARA O SPB,105,112,9(08),NOTA 37
ZEROS,COMPLEMENTO DE REGISTRO,113,119,9(07),
VALOR DO PAGTO,VALOR PREVISTO DO PAGTO,120,134,9(13)V9(02),
NOSSO NÚMERO,Nº DOCTO ATRIBUÍDO PELO BANCO,135,149,X(15),NOTA 12
BRANCOS,COMPLEMENTO DE REGISTRO,150,154,X(05),
DATA EFETIVA,DATA REAL EFETIVAÇÃO DO PAGTO,155,162,9(08),DDMMAAAA
VALOR EFETIVO,VALOR REAL EFETIVAÇÃO DO PAGTO,163,177,9(13)V9(02)
FINALIDADE DETALHE,INFORMAÇÃO COMPLEMENTAR P/ HIST. DE C/C,178,195,X(18),NOTA 13
BRANCOS,COMPLEMENTO DE REGISTRO,196,197,X(2),
N DO DOCUMENTO,Nº DO DOC/TED/ OP/ CHEQUE NO RETORNO,198,203,9(6),NOTA 14
N DE INSCRIÇÃO,N DE INSCRIÇÃO DO FAVORECIDO (CPF/CNPJ),204,217,9(14),NOTA 15
FINALIDADE DOC E STATUS,FUNCIONÁRIO FINALIDADE DO DOC E STATUS DO FUNCIONÁRIO NA EMPRESA,218,219,X(02),NOTA 30
FINALIDADE TED,FINALIDADE DA TED,220,224,X(05),NOTA 26
BRANCOS,COMPLEMENTO DE REGISTRO,225,229,X(05),
AVISO,AVISO AO FAVORECIDO,230,230,X(01),NOTA 16
OCORRÊNCIAS,CÓDIGO OCORRÊNCIAS NO RETORNO,231,240,X(10),NOTA 8
